,S,K,T,r,sigma,value
0,24.645203340169108,94.90593021346204,2.833299590050405,0.032965965354601126,1.4389688223167674,76.80429031634598
1,124.48781623806195,63.21362238566736,2.8847288306380925,0.028447854399877123,0.9587996128646584,24.568584772272143
2,118.86041353246348,54.56409915336806,4.668268707303475,0.026240015943902135,0.05392416185560439,5.7588861615804015e-15
3,12.56349389165068,115.4501117054315,3.5186829146519916,0.04106540809741607,0.08789476110547355,87.35375711640735
4,163.41172388547372,136.1098745712731,2.6002475666275764,0.03184156125202685,0.9530968640694739,62.43266405760981
5,70.60189073237493,65.22014520510135,0.8461045744361395,0.00814516983695993,1.4311163000652305,30.285301050793457
6,134.70535719263145,132.87764301764767,1.317896517894324,0.030871320802017137,0.3154979968154373,15.492859853834474
7,58.21243890641807,55.01565224638302,4.021559187894497,0.018250859596383368,1.1931646055971186,38.50158006137753
8,60.503551046269585,62.577713467852426,2.119574341223793,0.0337077926492452,1.1031106765143845,33.21203748629418
9,105.07068130627968,53.113323216500284,1.3833745738816399,0.030392753691442072,1.37474318072588,21.654057306020945
10,17.98618834655299,96.27427492878493,2.240140481758064,0.032490664410964445,0.716350223546542,72.67504213643338
11,72.89463989359,52.174678671190144,0.35324348500959446,0.02866056122635756,1.156825169368429,8.083598097367803
12,139.0464287681835,86.24872399696613,4.041220075178398,0.012422269132236409,0.5159931285101701,20.185344607588355
13,131.46937720582196,86.08865064823439,0.08846606308355764,0.020052649196224837,1.3339299944562044,3.0210810846950373
14,123.11811354850732,88.85309768759004,2.6136350274986,0.004987499949567133,1.4594722857570388,63.10834717494708
15,56.39216338992321,54.391191321745026,4.155721314832413,0.004091932077774689,0.39378985283513784,15.707993484923627
16,89.75426580067393,131.41680988806374,4.19488358925136,0.025378525657705837,0.7498431042850096,72.89359420294033
17,119.74150641971765,53.14164114342253,1.2354566709677073,0.012307144429397659,0.6589231961896034,3.586546565696219
18,84.13322085564165,84.66090399184273,4.474747176471563,0.03686322552224378,0.463295634171643,23.483049881321698
19,99.94694892115245,104.74892258718843,4.592899284461161,0.04384636214341353,1.4745474372652632,75.09536784425438
20,108.13743793037143,71.81346252832444,0.7503574557546572,0.033738953576272775,0.4713611004241213,2.578952723912675
21,148.66242512906342,88.06621531609102,0.5414004396739108,0.01447093278388797,0.3732040716686365,0.3132380665600838
22,146.8917144121219,137.35618126683255,1.0616273431587802,0.011854044785341345,0.6081543054213648,29.389293593869745
23,67.87982738378389,62.28661648465379,1.5851737243681048,0.027509366929162934,0.31536919922923484,6.429441283589181
24,76.28636120639023,138.1000297646327,4.458988634855499,0.011087797667162946,1.3123278622131973,115.02941753461786
25,192.8869363617191,86.28674083100367,0.9753081788274381,0.045324762336879626,0.21117103035537876,0.00013734682161741603
26,97.6499027301574,80.91905291889933,1.0849883058195953,0.006151325067813137,1.3400777720919899,37.56428017700799
27,4.477945516521675,90.98770392708136,1.0120175795564978,0.04763557491286495,0.8252899281358428,82.22814025036985
28,180.11237641575394,88.89701053374769,3.162379307972412,0.004735261880580436,1.39108341320882,61.1079277503029
29,74.49983664771067,127.55180790418338,0.7153501233984089,0.046974507240112914,1.3361928174569304,70.3777139170156
30,19.26354342259109,86.4278393368919,1.695034763064469,0.04684762235219795,0.15887698508910675,60.566625525477406
31,113.38681299652751,83.68493055779257,4.8472301076262205,0.042741761234576396,1.4044491394375425,57.39977412008768
32,63.08750815347051,51.679983862847024,2.0251939384893545,0.01117336191994053,0.23916789544781109,2.949581089018361
33,48.00524144300831,145.25165822106078,3.3003208170811433,0.0174916367772201,1.0918262313726306,112.86045535454764
